timestamp,perc coverage,coverage (km+AF4-2)
2005+AC0-02+AC0-15,0.3503573623,2824481.81204
2005+AC0-02+AC0-16,0.3503573623,2824481.81204
2005+AC0-02+AC0-17,0.4565440822,3680529.06945
2005+AC0-02+AC0-18,0.458942503,3699864.45864
2005+AC0-02+AC0-19,0.4402646731,3549289.08453
2005+AC0-02+AC0-20,0.4388017673,3537495.55206
2005+AC0-02+AC0-21,0.3764961094,3035204.98713
2005+AC0-02+AC0-22,0.374091454,3015819.33648
2005+AC0-02+AC0-23,0.3084702314,2486799.62758
2005+AC0-02+AC0-24,0.3085186127,2487189.66451
2005+AC0-02+AC0-25,0.3051610037,2460121.57119
2005+AC0-02+AC0-26,0.3012571599,2428649.88829
2005+AC0-02+AC0-27,0.3043659242,2453711.8661
2005+AC0-02+AC0-28,0.2947264295,2376000.99013
2005+AC0-03+AC0-01,0.296498513,2390287.02494
2005+AC0-03+AC0-02,0.2958982407,2385447.79957
2005+AC0-03+AC0-03,0.2948476308,2376978.08038
2005+AC0-03+AC0-04,0.2743027212,2211350.83857
2005+AC0-03+AC0-05,0.2741743385,2210315.85427
2005+AC0-03+AC0-06,0.2628478596,2119004.98948
2005+AC0-03+AC0-07,0.2346628695,1891785.58309
2005+AC0-03+AC0-08,0.2248164139,1812406.2469
2005+AC0-03+AC0-09,0.2089011206,1684101.6603
2005+AC0-03+AC0-10,0.19710454,1589000.96914
2005+AC0-03+AC0-11,0.1946310088,1569060.06157
2005+AC0-03+AC0-12,0.194267869,1566132.53146
2005+AC0-03+AC0-13,0.2003348767,1615043.02866
2005+AC0-03+AC0-14,0.2009228847,1619783.38297
2005+AC0-03+AC0-15,0.1918970998,1547020.06152
2005+AC0-03+AC0-16,0.1929202864,1555268.70168
2005+AC0-03+AC0-17,0.2146362538,1730336.67992
2005+AC0-03+AC0-18,0.2006791014,1617818.07112
2005+AC0-03+AC0-19,0.1991606204,1605576.50707
2005+AC0-03+AC0-20,0.1925373833,1552181.84545
2005+AC0-03+AC0-21,0.1937658036,1562085.02258
2005+AC0-03+AC0-22,0.1927163313,1553624.47419
2005+AC0-03+AC0-23,0.1923311175,1550518.98894
2005+AC0-03+AC0-24,0.2013955283,1623593.70165
2005+AC0-03+AC0-25,0.201602328,1625260.8618
2005+AC0-03+AC0-26,0.201602328,1625260.8618
2005+AC0-03+AC0-27,0.201602328,1625260.8618
2005+AC0-03+AC0-28,0.2108659883,1699941.86721
2005+AC0-03+AC0-29,0.2052158775,1654392.27472
2005+AC0-03+AC0-30,0.1983131735,1598744.62993
2005+AC0-03+AC0-31,0.1976830452,1593664.71459
2005+AC0-04+AC0-01,0.2096938221,1690492.1952
2005+AC0-04+AC0-02,0.2056637252,1658002.69571
2005+AC0-04+AC0-03,0.1986066789,1601110.788
